level,name,duration,range,component,cast_time,desc,class
1,Create or Destroy Water,1 action,30 feet,VSM ,Instantaneous,(a drop of water if creating water or a few grains of sand if destroying it) You either create or destroy water. Create Water. You create up to 10 gallons of clean water within range in an open container. Alternativelythe water falls as rain in a 30-foot cube within rangeextinguishing exposed flames in the area. Destroy Water. You destroy up to 10 gallons of water in an open container within range. Alternativelyyou destroy fog in a 30-foot cube within range. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou create or destroy 10 additional gallons of wateror the size of the cube increases by 5 feetfor each slot level above 1st.,Druid
1,Cure Wounds,1 action,Touch,VS,Instantaneous, A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe healing increases by 1d8 for each slot level above 1st.,Druid
1,Detect Magic (Ritual),1 action,Self,VS,Concentrationup to 10 minutes, For the durationyou sense the presence of magic within 30 feet of you. If you sense magic in this wayyou can use your action to see a faint aura around any visible creature or object in the area that bears magicand you learn its school of magicif any. The spell can penetrate most barriersbut is blocked by 1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood or dirt.,Druid
1,Detect Poison and Disease,1 action,Self,VSM ,Concentrationup to 10 minutes,(a yew leaf) For the durationyou can sense the presence and location of poisonspoisonous creaturesand diseases within 30 feet of you. You also identify the kind of poisonpoisonous creatureor disease in each case. The spell can penetrate most barriersbut is blocked by 1 foot of stone1 inch of common metala thin sheet of leador 3 feet of wood or dirt.,Druid
1,Entangle,1 action,90 feet,VS,Concentrationup to 1 minute, Grasping weeds and vines sprout from the ground in a 20-foot square starting from a point within range. For the durationthese plants turn the ground in the area into difficult terrain. A creature in the area when you cast the spell must succeed on a Strength saving throw or be restrained by the entangling plants until the spell ends. A creature restrained by the plants can use its action to make a Strength check against your spell save DC. On a successit frees itself. When the spell endsthe conjured plants wilt away.,Druid
1,Faerie Fire,1 action,60 feet,V,Concentrationup to 1 minute, Each object in a 20-foot cube within range is outlined in bluegreenor violet light (your choice). Any creature in the area when the spell is cast is also outlined in light if it fails a Dexterity saving throw. For the durationobjects and affected creatures shed dim light in a 10-foot radius. Any attack roll against an affected creature or object has advantage if the attacker can see itand the affected creature or object can't benefit from being invisible.,Druid
1,Fog Cloud,1 action,120 feet,VS,Concentrationup to 1 hour, You create a 20-foot-radius sphere of fog centered on a point within range. The sphere spreads around cornersand its area is heavily obscuredIt lasts for the duration or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe radius of the fog increases by 20 feet for each slot level above 1st.,Druid
1,Goodberry,1 action,Touch,VSM ,Instantaneous,(a sprig of mistletoe) Up to ten berries appear in your hand and are infused with magic for the duration. A creature can use its action to eat one berry. Eating a berry restores 1 hit pointand the berry provides enough nourishment to sustain a creature for one day. The berries lose their potency if they have not been consumed within 24 hours of the casting of this spell.,Druid
1,Healing Word,1 bonus action,60 feet,V,Instantaneous, A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on unddead or constructs. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe healing increases by 1d4 for each slot level above 1st.,Druid
1,Jump,1 action,Touch,VSM ,1 minute,(a grasshopper's hind leg) You touch a creature. The creature's jump distance is tripled until the spell ends.,Druid
1,Longstrider,1 action,Touch,VSM ,1 hour,(a pinch of dirt) You touch a creature. The target's speed increases by 10 feet until the spell ends. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can target one additional creature for each slot level above 1st.,Druid
1,Purify Food and Drink (Ritual),1 action,10 feet,VS,Instantaneous, All nonmagical food and drink withi na 5-foot-radius sphere centered on a point of your choice within range is purified and rendered free of poison and disease.,Druid
1,Speak with Animals (Ritual),1 action,Self,VS,10 minutes, You gain the ability to comprehend and verbally communicate with beasts for the duration. The knowledge and awareness of many beasts is limited by their intelligencebut at minimumbeasts can give you information about nearby locations and monstersincluding whatever they can perceive or have perceived within the past day. You might be able to persuade a beast to perform a small favor for youat the DM's discretion.,Druid
1,Thunderwave,1 action,Self (15-foot cube),VS,Instantaneous, A wave of thunderous force sweeps out from you. Each creature in a 15-foot cube originating from you must make a Constitution saving throw. On a failed savea creature takes 2d8 thunder damage and is pushed 10 feet away from you. On a successful savethe creature takes half as much damage and isn't pushed. In additionunsecured objects that are completely within the area of effect are automatically pushed 10 feet away from you by the spell's effectand the spell emits a thunderous boom audible out to 300 feet. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higherthe damage increases by 1d8 for each slot level above 1st.,Druid
2,Animal Messenger (Ritual),1 action,30 feet,VSM ,24 hours,(a morsel of food) By means of this spellyou use an animal to deliver a message. Choose a Tiny beast you can see within rangesuch as a squirrela blue rayor a bad. You specify a locationwhich you must have visitedand a recipient who matches a general descriptionsuch as a man or woman dressed in the uniform of the town guard or a red-haired dwarf wearing a pointed hat. You also speak a message of up to twenty-five words. The target beast travels fo rhte duration of the spell towards the specified locationcovering about 50 miles per 24 hours for a flying messenger or 25 miles for other animals. When the messenger arrivesit delivers your message to the creature that you describedreplicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn't reach its destination before the spell endsthe message is lostand the beast makes it way back to where you cast this spell. At Higher Levels. If you cast this spell using a spell slot of 3rd level or higherthe duration of the spell increases by 48 hours for each slot level above 2nd.,Druid
2,Barkskin,1 action,Touch,VSM ,Concentrationup to 1 hour,(a handful of oak bark) You touch a willing creature. Until the spellendsthe target's skin has a roughbark-like appearanceand the target's AC can't be less than 16regardless of what kind of armor it is wearing.,Druid
2,Beast Sense (Ritual),1 action,Touch,S,Concentrationup to 1 hour, You touch a willing beast. For the duration of the spellyou can use your action to see through the beast's eyes and hear what it hearsand continue to do so until you use your action to return to your normal senses.,Druid
2,Darkvision,1 action,Touch,VSM ,8 hours,(either a pinch of dried carrot or an agate) You touch a willing creature to grant it the ability to see in the dark. For the durationthat creature has darkvision out to a range of 60 feet.,Druid
2,Enhance Ability,1 action,Touch,VSM ,Concentrationup to 1 hour,(fur or a feather from a beast) You touch a creature and bestow upon it a magical enhancement. Choose one of the following effects: the target gains the effect until the spell ends.<br>- Bear's Endurance. The target has advantage on Constitution checks. It also gains 2d6 temporary hit pointswhich are lost when the spell ends.<br>- Bull's Strength. The target has advantage on Strength checksand his or her carrying capacity doubles.<br>- Cat's Grace. The target has advantage on Dexterity checks. It also doesn't take damage from falling 20 feet or less if it isn't incapacitated.<br>- Eagle's Splendor. The target has advantage on Charisma checks.<br>- Fox's Cunning. The target thas advantage on Intelligence checks.<br>- Owl's Wisdom. The target has advantage on Wisdom checks.<br> At Higher Levels. When you cast this spell using a spell slot of 3rd level or higheryou can target one additional creature for each slot level above 2nd.,Druid
2,Find Traps,1 action,120 feet,VS,Instantaneous, You sense the presence of any trap within range that is within line of sight. A trapfor the purpose of this spellincludes anything that would inflict a sudden or unexpected effect you consider harmful or undesirablewhich was specifically intended as such by its creator. Thusthe spell would sense an area affected by the alarm spella glyph of wardingor a mechanical pit trapbut it would not reveal a natural weakness in the flooran unstable ceilingor a hidden sinkhole. This spell merely reveals that a trap is present. You don't learn the location of each trapbut you do learn the general nature of the danger posed by a trap you sense.,Druid
2,Flame Blade,1 bonus action,Self,VSM ,Concentrationup to 10 minutes,(leaf of sumac) You evoke a fiery blade in your free hand. The blade is similar in size and shape to a scimitarand it lasts for the duration. If you let go of the bladeit disappearsbut you can evoke the blade again as a bonus action. You can use your action to make a melee spell attack with the fiery blade. On a hitthe target takes 3d6 fire damage. The flaming blade sheds bright light in a 10-foot radius and dim light for an additional 10 feet. At Higher Levels. When you cast this spell using a spell slot of 4th level or higherthe damage increases by 1d6 for every two slot levels above 2nd.,Druid
2,Flaming Sphere,1 action,60 feet,VSM ,Concentrationup to 1 minute,(a bit of tallowa pinch of brimstoneand a dusting of powdered iron) A 5-foot-diameter sphere of fire appears in an unoccupied space of your choice within range and lasts for the duration. Any creature that ends its turn within 5 feet of the sphere must make a Dexterity saving throw. The creature takes 2d6 fire damage on a failed saveor half as much damage on a successful one. As a bonus actionyou can move the sphere up to 30 feet. If you ram the sphere into a creaturethat creature must make the saving throw against the sphere's damageand the sphere stops moving this turn. When you move the sphereyou can direct it over barriers up to 5 feet tall and jump it across pits up to 10 feet wide. The sphere ignites flammable objects not being worn or carriedand it sheds bright light in a 20-foot radius and dim light for an additional 20 feet. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higherthe damage increases by 1d6 for each slot level above 2nd.,Druid
2,Gust of Wind,1 action,Self (60-foot line),VSM ,Concentrationup to 1 minute,(a legume seed) A line of strong wind 60 feet long and 10 feet wide blasts from you in a direction you choose for the spell's duration. Each creature that starts its turn in the line must succeed on a Strength saving throw or be pushed 15 feet away from you in a direction following the line. Any creature in the line must spend 2 feet of movement for every 1 foot it moves when moving closer to you. The gust disperses gas or vaporand it extinguishes candlestorchesand similar unprotected flames in the area. It causes protected flamessuch as those of lanternsto dance wildly and has a 50 percent chance to extinguish them. As a bonus action on each of your turns before the spell endsyou can change the direction in which the line blasts from you.,Druid
2,Heat Metal,1 action,60 feet,VSM ,Concentrationup to 1 minute,(a piece of iron and a flame) Choose a manufactured metal objectsuch as a metal weapon or a suit of heavy or medium metal armorthat you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 fire damage when you cast the spell. Until the spell endsyou can use a bonus action on each of your subsequent turns to cause this damage again. If a creature is holding or wearing the object and takes the damage from itthe creature must succeed on a Constitution saving throw or drop the object if it can. If it doesn't drop the objectit has disadvantage on attack rolls and ability checks until the start of your next turn. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higherthe damage increases by 1d8 for each slot above 2nd.,Druid
2,Hold Person,1 action,60 feet,VSM ,Concentrationup to 1 minute,(a smallstraight piece of iron) Choose a humanoid that you can see within range. The target must succeed on a Wisdom saving throw or be paralyzed for the duration. At the end of each of its turnsthe target can make another Wisdom saving throw. On a successthe spell ends on the target. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higheryou can target on additional humanoid for each slot level above 2nd. The humanoids must be within 30 feet of each other when you target them.,Druid
2,Lesser Restoration,1 action,Touch,VS,Instantaneous, You touch a creature and can end either one disease or one condition afflicting it. The condition can be blindeddeafenedparalyzedor poisoned.,Druid
2,Locate Animals or Plants (Ritual),1 action,Self,VSM ,Instantaneous,(a bit of fur from a bloodhound) Describe or name a specific kind of beast or plant. Concentrating on the voice of nature in your surroundingsyou learn the direction and distance to the closest creature or plant of that kind within 5 milesif any are present.,Druid
2,Locate Object,1 action,Self,VSM ,Concentrationup to 10 minutes,(a forked twig) Describe or name an object that is familiar to you. You sense the direction to the object's locationas long as that object is within 1000 feet of you. If the object is in motionyou know the direction of its movement. The spell can locate a specific object known to youas long as you have seen it up close - within 30 feet - at least once. Alternativelythe spell can locate the nearest object of a particular kindsuch as a certain kind of appareljewelryfurnituretoolor weapon. This spell can't locate an object if any thickness of leadeven a thin sheetblocks a direct path between you and the object.,Druid
2,Moonbeam,1 action,120 feet,VSM ,Concentrationup to 1 minute,(several seeds of any moonseed plant and a piece of opalescent feldspar) A silvery beam of pale light shines down in a 5-footradius40-foot-high cylinder centered on a point within range. Until the spell endsdim light fills the cylinder. When a creature enters the spell's area for the first time on a turn or starts its turn thereit is engulfed in ghostly flames that cause searing painand it must make a Constitution saving throw. It takes 2d10 radiant damage on a failed saveor half as much damage on a successful one. A shapechanger makes its saving throw with disadvantage. If it failsit also instantly reverts to its original form and can't assume a different form until it leaves the spell's light. On each of your turns after you cast this spellyou can use an action to move the beam 60 feet in any direction. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higherthe damage increases by 1d10 for each slot level above 2nd.,Druid
2,Pass Without Trace,1 action,Self,VSM ,Concentrationup to 1 hour,(ashes from a burned leaf of mistletoe and a sprig of spruce) A veil of shadows and silence radiates from youmasking you and your companions from detection. For the durationeach creature you choose within 30 feet of you (including you) has a +10 bonus to Dexterity (Stealth) checks and can't be tracked except by magical means. A creature that receives this bonus leaves behind no tracks or other traces of its passage.,Druid
2,Protection from Poison,1 action,Touch,VS,1 hour, You touch a creature. If it is poisonedyou neutralize the poison. If more than one poison afflicts the targetyou neutralize on poison that you know is presentor you neutralize one at random. For the durationthe target has advantage on saving throws against being poisonedand it has resistance to poison damage.,Druid
2,Spike Growth,1 action,150 feet,VSM ,Concentrationup to 10 minutes,(seven sharp thorns or seven small twigseach sharpened to a point) The ground in a 20-foot radius centered on a point within range twists and sprouts hard spikes and thorns. The area becomes difficult terrain for the duration. When a creature moves into or within the areait takes 2d4 piercing damage for every 5 feet it travels. The transformation of the ground is camouflaged to look natural. Any creature that can't see the area at the time the spell is case must make a Wisdom (Perception) check against your spell save DC to recognize the terrain as hazardous before entering it.,Druid
3,Call Lightning,1 action,120 feet,VS,Concentrationup to 10 minutes, A storm cloud appears in the shape of a cylinder that is 10 feet tall with a 60-foot radiuscentered on a point you can see 100 feet directly above you. The spell fails if you can't see a point in the air where the storm cloud could appear (for exampleif you are in a room that can't accommodate the cloud). When you cast the spellchoose a point you can see within range. A bolt of lightning flashes down from the cloud to that point. Each creature within 5 feet of that point must make a Dexterity saving throw. A creature takes 3d10 lightning damage on a failed saveor half as much damage on a successful one. On each of your turns until the spell endsyou can use your action to call down lightning in this way againtargeting the same point or a different one. If you are outdoors in stormy conditions when you cast this spellthe spell gives you control over the existing storm instead of creating a new one. Under such conditionsthe spell's damage increases by 1d10. At Higher Levels. When you cast this spell using a spell slot of 4th or higher levelthe damage increases by 1d10 for each slot level above 3rd. ,Druid
3,Conjure Animals,1 action,60 feet,VS,Concentrationup to 1 hour, You summon fey spirits that take the form of beasts and appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears: ?  One beast of challenge rating 2 or lower ?  Two beasts of challenge rating 1  or lower ?  Four beasts of challenge rating 1/2 or lower ?  Eight beasts of challenge rating 1/4 or lower Each beast is also considered feyand it disappears when it drops to 0 hit points or when the spell ends. The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a groupwhich has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to themthey defend themselves from hostile creaturesbut otherwise take no actions. The DM has the creatures' statistics. At Higher Levels. When you cast this spell using certain higher-level spell slotsyou choose one of the summoning options aboveand more creatures appear: twice as many with a 5th-level slotthree times as many with a 7th-level slotand four times as many with a 9th-level slot.,Druid
3,Daylight,1 action,60 feet,VS,1 hour, A 60-foot-radius sphere of light spreads out from a point you choose within range. The sphere is bright light and sheds dim light for an additional 60 feet. If you chose a point on an object you are holding or one that isn't being worn or carriedthe light shines from the object with and moves with it. Completely covering the affected object with an opaque objectsuch as a bowl or a helblocks the light. If any of this spell's area overlaps with an area of darkness created by a spell of 3rd level or lowerthe spell that created the darkness is dispelled.,Druid
3,Dispel Magic,1 action,120 feet,VS,Instantaneous, Choose any creatureobjector magical effect within range. Any spell of 3rd level or lower on the target ends. For each spell of 4th level or higher on the targetmake an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a successful checkthe spell ends. At Higher Levels. When you cast this spell using a spell slot of 4th level or higheryou automatically end the effects of a spell on the target if the spell's level is equal to or less than the level of the spell slot you used.,Druid
3,Feign Death (Ritual),1 action,Touch,VSM ,1 hour,(a pinch of graveyard dirt) You touch a willing creature and put it into a cataleptic state that is indistinguishable from death. For the spell's durationor until you use an action to touch the target and dismiss the spellthe target appears dead to all outward inspection and to spells used to determine the target's status. The target is blinded and incapacitatedand its speed drops to 0. The target has resistance to all damage except psychic damage. If the target is diseased or poisoned when you cast the spellor becomes diseased or poisoned while under the spell's effectthe disease and poison have no effect until the spell ends.,Druid
3,Meld into Stone (Ritual),1 action,Touch,VS,8 hours, You step into a stone object or surface large enough to fully contain your bodymelding yourself and all the equipment you carry with the stone for the duration. Using your movementyou step into the stone at a point you can touch. Nothing of your presence remains visible or otherwise detectable by nonmagical senses. While merged with the stoneyou can't see what occurs outside itand any Wisdom (Perception) checks you make to hear sounds outside it are made with disadvantage. You remain aware of the passage of time and can cast spells on yourself while merged in the stone. You can use your movement to leave the stone where you entered itwhich ends the spell. You otherwise can't move. Minor physical damage to the stone doesn't harm youbut its partial destruction or a change in its shape (to the extent that you no longer fit within it) expels you and deals 6d6 bludgeoning damage to you. The stone's complete destruction (or transmutation into a different substance) expels you and deals 50 bludgeoning damage to you. If expelledyou fall prone in an unoccupied space closest to where you first entered.,Druid
3,Plant Growth,1 action or 8 hours,150 feet,VS,Instantaneous, This spell channels vitality into plants within a specific area. There are two possible uses for the spellgranting either immediate or long-term benefits. If you cast this spell using 1 actionchoose a point within range. All normal plants in a 100-foot radius centered on that point become thick and overgrown. A creature moving through the area must spend 4 feet of movement for every 1 foot it moves. You can exclude one or more areas of any size within the spell's area from being affected. If you cast this spell over 8 hoursyou enrich the land. All plants in a half-mile radius centered on a point within range become enriched for 1 year. The plants yield twice the normal amount of food when harvested.,Druid
3,Protection from Energy,1 action,Touch,VS,Concentrationup to 1 hour, For the durationthe willing creature you touch has resistance to one damage type of your choice: acidcoldfirelightningor thunder.,Druid
3,Sleet Storm,1 action,150 feet,VSM ,Concentrationup to 1 minute,(a pinch of dust and a few drops of water) Until the spell endsfreezing rain and sleet fall in a 20-foot-tall cylinder with a 40-foot radius centered on a point you choose within range. The area is heavily obscuredand exposed flames in the area are doused. The ground in the area is covered with slick icemaking it difficult terrain. When a creature enters the spell's area for the first time on a turn or starts its turn thereit must make a Dexterity saving throw. On a failed saveit falls prone. If a creature is concentrating in the spell's areathe creature must make a successful Constitution saving throw against your spell save DC or lose concentration.,Druid
3,Speak with Plants,1 action,Self (30-foot radius),VS,10 minutes, You imbue plants within 30 feet of you with limited sentience and animationgiving them the ability to communicate with you and follow your simple commands. You can question plants about events in the spell's area within the past daygaining information about creatures that have passedweatherand other circumstances. You can also turn difficult terrain caused by plant growth (such as thickets and undergrowth) into ordinary terrain that lasts for the duration. Or you can turn ordinary terrain where plants are present into difficult terrain that lasts for the durationcausing vines and branches to hinder pursuersfor example. Plants might be able to perform other tasks on your behalfat the DM's discretion. The spell doesn't enable plants to uproot themselves and move aboutbut they can freely move branchestendrilsand stalks. If a plant creature is in the areayou can communicate with it as if you shard a common languagebut you gain no magical ability to influence it. This spell can cause the plants created by the entangle spell to release a restrained creature.,Druid
3,Water Breathing (Ritual),1 action,30 feet,VSM ,24 hours,(a short reed or piece of straw) This spell grants up to ten willing creatures you can see within range the ability to breathe underwater until the spell ends. Affected creatures also retain their normal mode of respiration.,Druid
3,Water Walk (Ritual),1 action,30 feet,VSM ,1 hour,(a piece of cork) This spell grants the ability to move across any liquid surface - such as wateracidmudsnowquicksandor lava - as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). Up to ten willing creatures you can see within range gain this ability for the duration. If you target a creature submerged in a liquidthe spell carries the target to the surface of the liquid at a rate of 60 feet per round.,Druid
3,Wind Wall,1 action,120 feet,VSM ,Concentrationup to 1 minute,(a tiny fan and a feather of exotic origin) A wall of strong w ind rises from the ground at a point you choose within range. You can make the wall up to 50 feet long15 feet highand 1 foot thick. You can shape the wall in any way you choose so long as it makes one continuous path along the ground. The wall lasts for the duration. When the wall appearseach creature within its area must make a Strength saving throw. A creature takes 3d8 bludgeoning damage on a failed saveor half as much damage on a successful one. The strong wind keeps fogsmokeand other gases at bay. Small or smaller flying creatures or objects can't pass through the wall. Looselightweight materials brought into the wall fly upward. Arrowsboltsand other ordinary projectiles launched at targets behind the wall are deflected upward and automatically miss. (Boulders hurled by giants or siege enginesand similar projectilesare unaffected.) Creatures in gaseous form can't pass through it. ,Druid
4,Blight,1 action,30 feet,VS,Instantaneous, Necromantic energy washes over a creature of your choice that you can see within rangedraining moisture and vitality from it. The target must make a Constitution saving throw. The target takes 8d8 necrotic damage on a failed saveor half as much damagfe on a successful one. This spell has no effect on undead or constructs. If you target a plant creature or a magical plantit makes the saving throw with disadvantageand the spell deals maximum damage to it. If you target a nonmagical plant that isn't a creaturesuch as a tree or shrubit doesn't make a saving throwit simply withers and dies. At Higer Levels. When you cast this spell using a spell slot of 5th level or higherthe damage increases by 1d8 for each slot level above 4th.,Druid
4,Confusion,1 action,90 feet,VSM ,Concentrationup to 1 minute,(three nut shells) This spell assaults and twists creatures' mindsspawning delusions and provoking uncontrolled actions. Each creature in a 10-foot-radius sphere centered on a point you choose within range must succeed on a Wisdom saving throw when you cast this spell or be affected by it. An affected target can't take reactions and must roll a d10 at the start of each of its turns to determine its behavior for that turn.  d10   Behavior   1     The creature uses all its movement to move in a random direction. To determine the directionroll a d8 and assign a direction to each die face. The creature doesn't take an action this turn. 2-6    The creature doesn't move or take actions this turn. 7-8    The creature uses its action to make a melee attack against a randomly determined creature within its reach. If there is no creature within its reachthe creature does nothing ths turn. 9-10   The creature can act and move normally. At the end of its turnsan affected target can make a Wisdom saving throw. It it succeedsthis effect ends for that target. At Higher Levels. When you cast this spell using a spell slot of 5th level or higherthe radius of the sphere increases by 5 feet for each slot above 4th. ,Druid
4,Conjure Minor Elementals,1 minute,90 feet,VS,Concentrationup to 1 hour, You summon elementals that appear in unoccupied spaces that you can see within range. You choose one the following options for what appears:  ?  One elemental of challenge rating 2 or lower  ?  Two elementals of challenge rating 1 or lower  ?  Four elementals of challenge rating 1/2 or lower  ?  Eight elementals of challenge rating 1/4 or lower. An elemental summoned by this spell disappears when it drops to 0 hit points or when the spell ends. The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a groupwhich has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to themthey defend themselves from hostile creaturesbut otherwise take no actions. The DM has the creatures' statistics. At Higher Levels. When you cast this spell using certain higher-level spell slotsyou choose one of the summoning options aboveand more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot.,Druid
4,Conjure Woodland Beings,1 action,60 feet,VSM ,Concentrationup to 1 hour,(one holly berry per creature summoned) You summon fey creatures that appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears:  ?  One fey creature of challenge rating 2 or lower  ?  Two fey creatures of challenge rating 1 or lower  ?  Four fey creatures of challenge rating 1/2 or lower  ?  Eight fey creatures of challenge rating 1/4 or lower A summoned creature disappears when it drops to 0 hit points or when the spell ends. The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a groupwhich have their own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to themthey defend themselves from hostile creaturesbut otherwise take no actions. The DM has the creatures' statistics. At Higher Levels. When you cast this spell using certain higher-level spell slotsyou choose one of the summoning options aboveand more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot.,Druid
