level,name,duration,range,component,cast_time,desc,class
1,Sanctuary,1 bonus action,30 feet,VSM ,1 minute,(a small silver mirror) You ward a creature within range against attack. Until the spell endsany creature who targets the warded creature with an attack or a harmful spell must first make a Wisdom saving throw. On a failed savethe creature must choose a new target or lose the attack or spell. This spell doesn't protect the warded creature from area effectssuch as the explosion of a fireball. If the warded creature makes an attack or casts a spell that affects an enemy creaturethis spell ends.,Cleric
1,Shield of Faith,1 bonus action,60 feet,VSM ,Concentrationup to 10 minutes,(a small parchment with a bit of holy text written on it) A shimmering field appears and surrounds a creature of your choice within rangegranting it a +2 bonus to AC for the duration.,Cleric
2,Aid,1 action,30 feet,VSM ,8 hours,(a tiny strip of white cloth) Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target’s hit point maximum and current hit points increase by 5 for the duration. At Higher Levels. When you cast this spell using a spell slot of 3rd level or highera target's hit points increase by an additional 5 for each slot level above 2nd.,Cleric
2,Augury (Ritual),1 minute,Self,VSM ,Instantaneous,(specially marked sticksbonesor similar tokens worth at least 25 gp)    By casting gem-inlaid sticksrolling dragon boneslaying out ornate cardsor employing some other divining toolyou receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The DM chooses from the following possible omens: • Wealfor good results • Woefor bad results • Weal and woefor both good and bad results • Nothingfor results that aren’t especially good or bad    The spell doesn’t take into account any possible circumstances that might change the outcomesuch as the casting of additional spells or the loss or gain of a companion.    If you cast the spell two or more times before completing your next long restthere is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM makes this roll in secret. ,Cleric
2,Blindness/Deafness,1 action,30 feet,V,1 minute, You can blind or deafen a foe. Choose one creature that you can see within range to make a Constitution saving throw. If it failsthe target is either blinded or deafened (your choice) for the duration. At the end of each of its turnsthe target can make a Constitution saving throw. On a successthe spell ends. At Higher Levels. When you cast this spell using a spell slot of 3rd or higheryou can taget one additiona creature for each slot level above 2nd.,Cleric
2,Calm Emotions,1 action,60 feet,VS,Concentrationup to 1 minute, You attempt to suppress strong emotions in a group of people. Each humanoid in a 20-foot-radius sphere centered on a point you choose within range must make a Charisma saving throw  a creature can choose to fail this saving throw if it wishes. If a creature fails its saving throwchoose one of the following two effects. You can suppress any effect causing a target to be charmed or frightened. When this spell endsany suppressed effect resumesprovided that its duration has not expired in the meantime. Alternativelyyou can make a target indifferent about creatures of your choice that it is hostile toward. This indifference ends if the target is attacked or harmed by a spell or if it witnesses any of its friends being harmed. When the spell endsthe creature becomes hostile againunless the DM rules otherwise.,Cleric
2,Continual Flame,1 action,Touch,VSM ,Until dispelled,(ruby dust worth 50 gpwhich the spell consumes) A flameequivalent in brightness to a torchsprings forth from an object that you touch. The effect looks like a regular flamebut it creates no heat and doesn’t use oxygen. A continual flame can be covered or hidden but not smothered or quenched. ,Cleric
2,Enhance Ability,1 action,Touch,VSM ,Concentrationup to 1 hour,(fur or a feather from a beast) You touch a creature and bestow upon it a magical enhancement. Choose one of the following effects: the target gains the effect until the spell ends.<br>- Bear's Endurance. The target has advantage on Constitution checks. It also gains 2d6 temporary hit pointswhich are lost when the spell ends.<br>- Bull's Strength. The target has advantage on Strength checksand his or her carrying capacity doubles.<br>- Cat's Grace. The target has advantage on Dexterity checks. It also doesn't take damage from falling 20 feet or less if it isn't incapacitated.<br>- Eagle's Splendor. The target has advantage on Charisma checks.<br>- Fox's Cunning. The target thas advantage on Intelligence checks.<br>- Owl's Wisdom. The target has advantage on Wisdom checks.<br> At Higher Levels. When you cast this spell using a spell slot of 3rd level or higheryou can target one additional creature for each slot level above 2nd.,Cleric
2,Find Traps,1 action,120 feet,VS,Instantaneous, You sense the presence of any trap within range that is within line of sight. A trapfor the purpose of this spellincludes anything that would inflict a sudden or unexpected effect you consider harmful or undesirablewhich was specifically intended as such by its creator. Thusthe spell would sense an area affected by the alarm spella glyph of wardingor a mechanical pit trapbut it would not reveal a natural weakness in the flooran unstable ceilingor a hidden sinkhole. This spell merely reveals that a trap is present. You don't learn the location of each trapbut you do learn the general nature of the danger posed by a trap you sense.,Cleric
2,Gentle Repose (Ritual),1 action,Touch,VSM ,10 days,(a pinch of salt and one copper piece placed on each of the corpse's eyeswhich must remain there for the duration) You touch a corpse or other remains. For the durationthe target is protected from decay and can't become undead. The spell also effectively extends the time limit on raising the target from the deadsince days spent under the influence of this spell don't count against the time limit of spells such as raise dead.,Cleric
2,Hold Person,1 action,60 feet,VSM ,Concentrationup to 1 minute,(a smallstraight piece of iron) Choose a humanoid that you can see within range. The target must succeed on a Wisdom saving throw or be paralyzed for the duration. At the end of each of its turnsthe target can make another Wisdom saving throw. On a successthe spell ends on the target. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higheryou can target on additional humanoid for each slot level above 2nd. The humanoids must be within 30 feet of each other when you target them.,Cleric
2,Lesser Restoration,1 action,Touch,VS,Instantaneous, You touch a creature and can end either one disease or one condition afflicting it. The condition can be blindeddeafenedparalyzedor poisoned.,Cleric
2,Locate Object,1 action,Self,VSM ,Concentrationup to 10 minutes,(a forked twig) Describe or name an object that is familiar to you. You sense the direction to the object's locationas long as that object is within 1000 feet of you. If the object is in motionyou know the direction of its movement. The spell can locate a specific object known to youas long as you have seen it up close - within 30 feet - at least once. Alternativelythe spell can locate the nearest object of a particular kindsuch as a certain kind of appareljewelryfurnituretoolor weapon. This spell can't locate an object if any thickness of leadeven a thin sheetblocks a direct path between you and the object.,Cleric
2,Prayer of Healing,10 minutes,30 feet,V,Instantaneous, Up to six creatures of your choice that you can see within range each regain hit points equal to 2d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higherthe healing increases by 1d8 for each slot level above 2nd.,Cleric
2,Protection from Poison,1 action,Touch,VS,1 hour, You touch a creature. If it is poisonedyou neutralize the poison. If more than one poison afflicts the targetyou neutralize on poison that you know is presentor you neutralize one at random. For the durationthe target has advantage on saving throws against being poisonedand it has resistance to poison damage.,Cleric
2,Silence (Ritual),1 action,120 feet,VS,Concentrationup to 10 minutes, For the durationno sound can be created within or pass through a 20-foot-radius sphere centered on a point you choose within range. Any creature or object entirely inside the sphere is immune to thunder damageand creatures are deafened while entirely inside it. Casting a spell that includes a verbal component is impossible there.,Cleric
2,Spiritual Weapon,1 bonus action,60 feet,VS,1 minute, You create a floatingspectral weapon within range that lasts for the duration or until you cast this spell again. When you cast the spellyou can make a melee spell attack against a creature within 5 feet of the weapon. On a hitthe target takes force damage equal to 1d8 + your spellcasting ability modifier. As a bonus action on your turnyou can move the weapon up to 20 feet and repeat the attack against a creature within 5 feet of it. The weapon can take whatever form you choose. Clerics of deities who are associated with a particular weapon (as St. Cuthbert is known for his mace and Thor for his hammer) make this spell's effect resemble that weapon. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higherthe damage increases by 1d8 for every two slot levels above the 2nd.,Cleric
2,Warding Bond,1 action,Touch,VSM ,1 hour,(a pair of platinum rings worth at least 50 gp eachwhich you and target must wear for the duration) This spell wards a willing creature you touch and creates a mystic connection between you and the target until the spell ends. While the target is within 60 feet of youit gains a +1 bonus to AC and saving throwsand it has resistance to all damage. Alsoeach time it takes damageyou take the same amount of damage. The spell ends if you drop to 0 hit points or if you and the target become separated by more than 60 feet. It also ends if the spell is cast again on either of the connected creatures. You can also dismiss the spell as an action.,Cleric
2,Zone of Truth,1 action,60 feet,VS,10 minutes, You create a magical zone that guards against deception in a 15-foot-radius sphere centered on a point of your choice within range. Until the spell endsa creature that enters the spell's area for the first time on a turn or starts its turn there must make a Charisma saving throw. On a failed savea creature can't speak a deliberate lie while in the radius. You know whether each creature succeeds or fails on its saving throw. An affected creature is aware of the spell and can thus avoid answering questions to which it would normally respond with a lie. Such creatures can be evasive in its answers as long as it remains within the boundaries of the truth.,Cleric
3,Animate Dead,1 minute,10 feet,VSM ,Instantaneous,(a drop of blooda piece of fleshand a pinch of bone dust)   This spell creates an undead servant. Choose a pile of bones or a corpse of a Medium or Small humanoid within range. Your spell imbues the target with a foul mimicry of liferaising it as an undead creature. THe target becomes a skeleton if you chose bones or a zombie if you chose a corpse (the DM has the creature's game statistics).   On each of your turnsyou can use a bonus action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creaturesyou can command any or all of them at the same timeissuing the same command to each one). You decide what action the creature will take and where it will move during its next turnor you can issue a general commandsuch as to guard a particular chamber or corridor. If you issue no commandsthe creature only defends itself against hostile creatures. Once given an orderthe creature continues to follow it until its task is complete.   The creature is under your control for 24 hoursafter which it stops obeying any command you've given it. To maintain the control of the creature for another 24 hoursyou must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spellrather than animating a new one.   At Higher Levels. When you cast this spell using a spell slot of 4th level or higheryou animate or reassert control over two additional undead creatures for each slot above 3rd. Each of the creatures must come from a different corpse or pile of bones.,Cleric
3,Beacon of Hope,1 action,30 feet,VS,Concentrationup to 1 minute, This spell bestows hope and vitality. Choose any number of creatures within range. For the durationeach target has advantage on Wisdom saing throws and death saving throwsand regians the maximum number of hit points possible from any healing.,Cleric
3,Bestow Curse,1 action,Touch,VS,Concentrationup to 1 minute, You touch a creatureand that creature must succeed on a Wisdom saving throw or become cursed for the duration of the spell. When you cast this spellchoose the nature of the curse from the following options:  Choose one ability score. While cursedthe target has disadvantage on ability checks and saving throws made with that ability score.  While cursedthe target has disadvantage on attack rolls against you.  While cursedthe target must make a Wisdom saving throw at the start of each of its turns. If it failsit wastes its action that turn doing nothing.  While the target is cursedyour attacks and spells deal an extra 1d8 necrotic damage to the target. A remove curse spell ends this effect. At the DM's optionyou may choose an alternative curse effectbut it should be no more powerful than those described above. The DM has final say on such a curse's effect. At Higher Levels. If you cast this spell using a spell slot of 4th level or higherthe duration is concentrationup to 10 minutes. If you use a spell slot of 5th level or higherthe duration is 8 hours. If you use a spell slot of 7th level or higherthe duration is 24 hours. If you use a 9th level spell slotthe spell lasts until it is dispelled. Using a spell slot of 5th level or higher grants a duration that doesn't require concentration. ,Cleric
3,Clairvoyance,10 minutes,1 mile,VSM ,Concentrationup to 10 minutes,(a focus worth at least 100 gpeither a jeweled horn for hearing or a glass eye for scrying) You create an invisible sensor within range in a location familiar to you (a place you have visited or seen before) or in an obvious location that is unfamiliar to you (such as behind a dooraround a corneror in a grove of trees). The sensor remains in place for the durationand it can't be attacked or otherwise interacted with. When you cast the spellyou choose seeing or hearing. You can use the chosen sense through the sensor as if you were in its space. As your actionyou can switch between seeing and hearing. A creature that can see the sensor (such as a creature benefitting from see invisibility or truesight) sees a luminousintangible orb about the size of your fist.,Cleric
3,Create Food and Water,1 action,30 feet,VS,Instantaneous, You create 45 pounds of food and 30 gallons of water on the ground or in containers within rangeenough to sustain up to fifteen humanoids or five steeds for 24 hours. The food is bland but nourishingand spoils if uneaten after 24 hours. The water is clean and doesn’t go bad.,Cleric
3,Daylight,1 action,60 feet,VS,1 hour, A 60-foot-radius sphere of light spreads out from a point you choose within range. The sphere is bright light and sheds dim light for an additional 60 feet. If you chose a point on an object you are holding or one that isn't being worn or carriedthe light shines from the object with and moves with it. Completely covering the affected object with an opaque objectsuch as a bowl or a helblocks the light. If any of this spell's area overlaps with an area of darkness created by a spell of 3rd level or lowerthe spell that created the darkness is dispelled.,Cleric
3,Dispel Magic,1 action,120 feet,VS,Instantaneous, Choose any creatureobjector magical effect within range. Any spell of 3rd level or lower on the target ends. For each spell of 4th level or higher on the targetmake an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a successful checkthe spell ends. At Higher Levels. When you cast this spell using a spell slot of 4th level or higheryou automatically end the effects of a spell on the target if the spell's level is equal to or less than the level of the spell slot you used.,Cleric
3,Feign Death (Ritual),1 action,Touch,VSM ,1 hour,(a pinch of graveyard dirt) You touch a willing creature and put it into a cataleptic state that is indistinguishable from death. For the spell's durationor until you use an action to touch the target and dismiss the spellthe target appears dead to all outward inspection and to spells used to determine the target's status. The target is blinded and incapacitatedand its speed drops to 0. The target has resistance to all damage except psychic damage. If the target is diseased or poisoned when you cast the spellor becomes diseased or poisoned while under the spell's effectthe disease and poison have no effect until the spell ends.,Cleric
3,Glyph of Warding,1 hour,Touch,VSM ,Until dispelled or triggered,(incense and powdered diamond worth at least 200 gpwhich the spell consumes) When you cast this spellyou inscribe a glyph that harms other creatureseither upon a surface (such as a table or a section of floor or wall) or within an object that can be closed (such as a booka scrollor a treasure chest) to conceal the glyph. If you choose a surfacethe glyph can cover an area of the surface no larger than 10 feet in diameter. If you choose an objectthat object must remain in its placeif the object is moved more than 10 feet from where you cast this spellthe glyph is broken and the spell ends without being triggered. The glyph is nearly invisible and requires a successful Intelligence (Investigation) check against your spell save DC to be found. You decide what triggers the glyph when yo ucast the spell. For glyphs inscribed on a surfacethe most typical triggers include touching or standing on teh glyphremoving another object covering the glyphapproaching within a certain distance of the glyphor mainpulating the object on which the glyph is inscribed. For glyphs inscribed within an objectthe most common triggers include opening that objectapproaching within a certain distance of the objector seeing or reading the glyph. Once a glyph is triggeredthis spell ends. You can further refine the trigger so the spell activates only under certain circumstances or according to physical characteristics (sugh as height or weight)creature kind (for examplethe ward could be set to affect aberrations or drow)or alignment. You can also set conditions for creatures that don't trigger the glyphsuch as those who say a certain password. When you inscribe the glyphchoose explosive runes or a spell glyph. Explosive Runes. When triggeredthe glyph erupts with magical energy in a 20-foot-radius sphere centered on the glyph. The sphere spreads around corners. Each creature in the aura must make a Dexterity saving throw. A creature takes 5d8 acidcoldfirelightningor thunder damage on a failed saving throw (your choice when you create the glyph)or half as much damage on a successful one. Spell Glyph. You can store a prepared spell of 3rd level or lower in the glyph by casting it as part of creating the glyph. The spell must target a single creature or an area. The spell being stored has no immediate effect when cast in this way. When the glyph is triggeredthe stored spell is cast. If the spell has a targetit targets the creature that triggered the glyph. If the spell affects an areathe area is centered on that creature. If the spell summons hostile creatures or creates harmful objects or trapsthey appear as close as possible to the intruder and attack it. If the spell requires concentrationit lasts until the end of its full duration. At Higher Levels. When you cast this spell using a spell slot of 4th level or higherthe damage of an explosive runes glyph increases by 1d8 for each slot level above 3rd. If you create a spell glyphyou can store any spell of up to the same level as the slot you use for the glyph of warding.,Cleric
3,Magic Circle,1 minute,10 feet,VSM ,1 hour,(holy water or powdered silver and iron worth at least 100 gpwhich the spell consumes) You create a 10-foot-radius20-foot-tall cylinder of magical energy centered on a point on the ground that you can see within range. Glowing runes appear wherever the cylinder intersects with the floor or other surface. Choose one or more of the following types of creatures: celestialselementalsfeyfiendsor undead. The circle affects a creature of the chosen type in the following ways: * The creature can't willingly enter the cylinder by nonmagical means. If the creature tries to use teleportation or interplanar travel to do soit must first succeed on a Charisma saving throw. * The creature has disadvantage on attack rolls against targets within the cylinder. * Targets within the cylinder can't be charmedfrightenedor possessed by the creature. When you cast this spellyou can elect to cause its magic to operate in the reverse directionpreventing a creature of the specified type from leaving the cylinder and protecting targets outside it. At Higher Levels. When you cast this spell using a spell slot of 4th level or higherthe duration increases by 1 hour for each slot level above 3rd.,Cleric
3,Mass Healing Word,1 bonus action,60 feet,V,Instantaneous, As you call out words of restorationup to six creatures of your choice that you can see within range regain hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs. At Higher Levels. When you cast this spell using a spell slot of 4th level or higherthe healing increases by 1d4 for each slot level above 3rd.,Cleric
3,Meld into Stone (Ritual),1 action,Touch,VS,8 hours, You step into a stone object or surface large enough to fully contain your bodymelding yourself and all the equipment you carry with the stone for the duration. Using your movementyou step into the stone at a point you can touch. Nothing of your presence remains visible or otherwise detectable by nonmagical senses. While merged with the stoneyou can't see what occurs outside itand any Wisdom (Perception) checks you make to hear sounds outside it are made with disadvantage. You remain aware of the passage of time and can cast spells on yourself while merged in the stone. You can use your movement to leave the stone where you entered itwhich ends the spell. You otherwise can't move. Minor physical damage to the stone doesn't harm youbut its partial destruction or a change in its shape (to the extent that you no longer fit within it) expels you and deals 6d6 bludgeoning damage to you. The stone's complete destruction (or transmutation into a different substance) expels you and deals 50 bludgeoning damage to you. If expelledyou fall prone in an unoccupied space closest to where you first entered.,Cleric
3,Protection from Energy,1 action,Touch,VS,Concentrationup to 1 hour, For the durationthe willing creature you touch has resistance to one damage type of your choice: acidcoldfirelightningor thunder.,Cleric
3,Remove Curse,1 action,Touch,VS,Instantaneous, At your touchall curses affecting one creature or object end. If the object is a cursed magic itemits curse remainsbut the spell breaks its owner’s attunement to the object so it can be removed or discarded. ,Cleric
3,Revivify,1 action,Touch,VSM ,Instantaneous,(diamonds worth 300 gpwhich the spell consumes) You touch a creature that has died within the last minute. That creature returns to life with 1 hit point. This spell can't return to life a creature that has died of old agenor can it restore any missing body parts.,Cleric
3,Sending,1 action,Unlimited,VSM ,1 round,(A short piece of fine copper wire) You send a short message of twenty-five words or less to a creature with you are familiar. The creature hears the message in its mindregonizes you as the sender if it knows youand can answer in a like manner immediately. The spell enables creatures with Intelligence scores of at least 1 to understand the meaning of your message. You can send the message across any distance and even to other planes of existencebut if the target is on a different plane than youthere is a 5 percent chance that the message doesn't arrive.,Cleric
3,Speak with Dead,1 action,10 feet,VSM ,10 minutes,(burning incense) You grant the semblance of life and intelligence to a corpse of your choice within rangeallowing it to answer the questions you pose. The corpse must still have a mouth and can't be undead. The spell fails if the corpse was the target of this spell within the last 10 days. Until the spell endsyou can ask the corpse up to five questions. The corpse knows only what it knew in lifeincluding the languages it knew. Answers are usually briefcrypticor repetitiveand the corpse is under no compulsion to offer a truthful answer if you are hostile to it or it recognizes you as an enemy. This spell doesn't return the creature's soul to its bodyonly its animating spirit. Thusthe corpse can't learn new informationdoesn't comprehend anything that has happened since it diedand can't speculate about future events.,Cleric
3,Spirit Guardians,1 action,Self (15-foot-radius),VSM ,Concentrationup to 10 minutes,(a holy symbol) You call forth spirits to protect you. They flit around you to a distance of 15 feet for the duration. If you are good or neutraltheir spectral form appears angelic or fey (your choice). If you are evilthey appear fiendish. When you cast this spellyou can designate any number of creatures you can see to be unaffected by it. An affected creature's speed is halved in the areaand when the creature enters the area for the first time on a turn or starts its turn thereit must make a Wisdom saving throw. On a failed savethe creature takes 3d8 radiant damage (if you are good or neutral) or 3d8 necrotic damage (if you are evil). On a successful savethe creature takes half as much damage. At Higher Levels. When you cast this spell using a spell slot of 5th level or higherthe damage increases by 1d8 for each slot level above 3rd.,Cleric
3,Tongues,1 action,Touch,VM ,1 hour,(a small clay model of a ziggurat) This spell grants the creature you touch the ability to understand any spoken language it hears. Moreoverwhen the target speaksany creature that knows at least one language and can hear the target understands what it says. ,Cleric
3,Water Walk (Ritual),1 action,30 feet,VSM ,1 hour,(a piece of cork) This spell grants the ability to move across any liquid surface - such as wateracidmudsnowquicksandor lava - as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). Up to ten willing creatures you can see within range gain this ability for the duration. If you target a creature submerged in a liquidthe spell carries the target to the surface of the liquid at a rate of 60 feet per round.,Cleric
4,Banishment,1 action,60 feet,VSM ,Concentrationup to 1 minute,(an item distasteful to the target) You attempt to send one creature that you can see within range to another place of existence. The target must succeed on a Charisma saving throw or be banished. If the target is native to the plane of existence you're onyou banish the target to a harmless demiplane. While therethe target is incapacitated. The target remains there until the spell endsat which point the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. If the taret is native to a different plane of existence that the one you're onthe target is banished with a faint popping noisereturning to its home plane. If the spell ends before 1 minute has passedthe target reappears in the space it left or in the nearest unoccupied space if that space is occupied. Otherwisethe target doesn't return. At Higher Levels. When you cast this spell using a spell slot of 5th level or higheryou can target one additional creature for each slot level above 4th.,Cleric
