level,name,duration,range,component,cast_time,desc,class
2,Detect Thoughts,1 action,Self,VSM ,Concentrationup to 1 minute,(a copper piece) For the durationyou can read the thoughts of certain creatures. When you cast the spell and as your action on each turn until the spell endsyou can focus your mind on any one creature that you can see within 30 feet of you. If the creature you choose has an Intelligence of 3 or lower or doesn't speak any languagethe creature is unaffected. You initially learn the surface thoughts of the creature - what is most on its mind in that moment. As an actionyou can either shift your attention to another creature's thoughts or attempt to probe deeper into the same creature's mind. If you probe deeperthe target must make a Wisdom saving throw. If it failsyou gain insight into its reasoning (if any)its emotional stateand something that looms large in its mind (such as something it worries overlovesor hates). If it succeedsthe spell ends. Either waythe target knows that you are probing into its mindand unless you shift your attention to another creatures thoughtsthe creature can use its action on its turn to make an Intelligence check contested by your Intelligence check  if it succeedsthe spell ends. Questions verbally directed at the target creature naturally shape the course of its thoughtsso this spell is particularly effective as part of an interrogation. You can also use this spell to detect the presence of thinking creatures you can't see. When you cast the spell or as your action during the durationyou can search for thoughts within 30 feet of you. The spell can penetrate barriersbut 2 feet of rock2 inches of any metal other than leador a thin sheet of lead blocks you. You can't detect a creature with an Intelligence of 3 or lower or one that doesn't speak any language. Once you detect the presence of a creature in this wayyou can read its thoughts for the rest of the duration as described aboveeven if you can't see itbut it must still be within range.,Bard
2,Enhance Ability,1 action,Touch,VSM ,Concentrationup to 1 hour,(fur or a feather from a beast) You touch a creature and bestow upon it a magical enhancement. Choose one of the following effects: the target gains the effect until the spell ends.<br>- Bear's Endurance. The target has advantage on Constitution checks. It also gains 2d6 temporary hit pointswhich are lost when the spell ends.<br>- Bull's Strength. The target has advantage on Strength checksand his or her carrying capacity doubles.<br>- Cat's Grace. The target has advantage on Dexterity checks. It also doesn't take damage from falling 20 feet or less if it isn't incapacitated.<br>- Eagle's Splendor. The target has advantage on Charisma checks.<br>- Fox's Cunning. The target thas advantage on Intelligence checks.<br>- Owl's Wisdom. The target has advantage on Wisdom checks.<br> At Higher Levels. When you cast this spell using a spell slot of 3rd level or higheryou can target one additional creature for each slot level above 2nd.,Bard
2,Enthrall,1 action,60 feet,VS,1 minute, You weave a distracting string of wordscausing creatures of your choice that you can see within range and that can hear you to make a Wisdom saving throw. Any creature that can't be charmed succeeds on this saving throw automaticallyand if you or your companions are fighting a creatureit has advantage on the save. On a failed savethe target has disadvantage on Wisdom (Perception) checks made to perceive any creature other than you until the spell ends or until the target can no longer hear you. The spell ends if you are incapacitated or can no longer speak.,Bard
2,Heat Metal,1 action,60 feet,VSM ,Concentrationup to 1 minute,(a piece of iron and a flame) Choose a manufactured metal objectsuch as a metal weapon or a suit of heavy or medium metal armorthat you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 fire damage when you cast the spell. Until the spell endsyou can use a bonus action on each of your subsequent turns to cause this damage again. If a creature is holding or wearing the object and takes the damage from itthe creature must succeed on a Constitution saving throw or drop the object if it can. If it doesn't drop the objectit has disadvantage on attack rolls and ability checks until the start of your next turn. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higherthe damage increases by 1d8 for each slot above 2nd.,Bard
2,Hold Person,1 action,60 feet,VSM ,Concentrationup to 1 minute,(a smallstraight piece of iron) Choose a humanoid that you can see within range. The target must succeed on a Wisdom saving throw or be paralyzed for the duration. At the end of each of its turnsthe target can make another Wisdom saving throw. On a successthe spell ends on the target. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higheryou can target on additional humanoid for each slot level above 2nd. The humanoids must be within 30 feet of each other when you target them.,Bard
2,Invisibility,1 action,Touch,VSM ,Concentrationup to 1 hour,(an eyelash encased in gum arabic) A creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target's person. The spell ends for a target that attacks or casts a spell. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higheryou can target one additional creature for each slot level above 2nd.,Bard
2,Knock,1 action,60 feet,V,Instantaneous,Choose an object that you can see within range. The object can be a doora boxa chesta set of manaclesa padlockor another object that contains a mundane or magical means that prevents access.<br>A target that is held shut by a mundane lock or that is stuck or barred becomes unlockedunstuckor unbarred. If the object has multiple locksonly one of them is unlocked.<br>If you choose a target that is held shut with arcane lockthat spell is suppressed for 10 minutesduring which time the target can be opened and shut normally.<br>When you cast the spella loud knockaudible from as far away as 300 feetemanates from the target object. ,Bard
2,Lesser Restoration,1 action,Touch,VS,Instantaneous, You touch a creature and can end either one disease or one condition afflicting it. The condition can be blindeddeafenedparalyzedor poisoned.,Bard
2,Locate Animals or Plants (Ritual),1 action,Self,VSM ,Instantaneous,(a bit of fur from a bloodhound) Describe or name a specific kind of beast or plant. Concentrating on the voice of nature in your surroundingsyou learn the direction and distance to the closest creature or plant of that kind within 5 milesif any are present.,Bard
2,Locate Object,1 action,Self,VSM ,Concentrationup to 10 minutes,(a forked twig) Describe or name an object that is familiar to you. You sense the direction to the object's locationas long as that object is within 1000 feet of you. If the object is in motionyou know the direction of its movement. The spell can locate a specific object known to youas long as you have seen it up close - within 30 feet - at least once. Alternativelythe spell can locate the nearest object of a particular kindsuch as a certain kind of appareljewelryfurnituretoolor weapon. This spell can't locate an object if any thickness of leadeven a thin sheetblocks a direct path between you and the object.,Bard
2,Magic Mouth (Ritual),1 minute,30 feet,VSM ,Until dispelled,(a small bit of honeycomb and jade dust worth at least 10 gpwhich the spell consumes) You implant a message within an object in rangea message that is uttered when a trigger condition is met. Choose an object that you can see and that isn't being worn or carried by another creature. THen speak the messagewhich must be 25 words or lessthough it can be delevered over as long as 10 minutes. Finallydetermine the circumstance that will trigger the spell to deliver your message.   When that circumstance occursa magical mouth appears on the object and recites the message in your voice and at the same volume you spoke. If the object you chose has a mouth or something that looks like a mouth (for examplethe mouth of a statue)the magical mouth appears there so that words appear to come from the object's mouth. WHen you cast this spellyou can have the spell end after it delivers its messageor it can remain and repeats its message whenever the trigger occurs.   The triggering circumstance can be as general or as detailed as you likethough it must be based on visual or audible conditions that occur within 30 feet of the object. For exampleyou could instruct the mouth to speak when any creature moves within 30 feet of the object or when a silver bell rings within 30 feet of it.,Bard
2,Phantasmal Force,1 action,60 feet,VSM ,Concentrationup to 1 minute,(a bit of fleece) You craft an illusion that takes root in the mind of a creature that you can see within range. The target must make an Intelligence saving throw. On a failed saveyou create a phantasmal objectcreatureor other visible phenomenon of your choice that is no larger than a 10-foot cube and that is perceivable only to the target for the duration. This spell has no effect on undead or constructs. The phantasm includes soundtemperatureand other stimulialso evident only to the creature. The target can use its action to examine the phantasm with an Intelligence (Investigation) check against your spell save DC. If the check succeedsthe target realizes that the phantasm is an illusionand the spell ends. While a target is affected by the spellthe target treats the phantasm as if it were real. The target rationalizes any illogical outcomes from interacting with the phantasm. For examplea target attempting to walk across a phantasmal bridge that spans a chasm falls once it steps onto the bridge. If the target survives the fallit still believes that the bridge exists and comes up with some other explanation for its fall??t w as pushedit slippedor a strong wind might have knocked it off. An affected target is so convinced of the phantasm's reality that it can even take damage from the illusion. A phantasm created to appear as a creature can attack the target. Similarlya phantasm created to appear as firea pool of acidor lava can burn the target. Each round on your turnthe phantasm can deal 1d6 psychic damage to the target if it is in the phantasm's area or within 5 feet of the phantasmprovided that the illusion is of a creature or hazard that could logically deal damagesuch as by attacking. The target perceives the damage as a type appropriate to the illusion.,Bard
2,See invisibility,1 action,Self,VSM ,1 hour,(A pinch of Talc and a small sprinkling of powdered silver) For the durationyou see invisible creatures and objects as if they were visibleand you can see into the Ethereal Plane. Ethereal creatures and objects appear ghostly and translucent.,Bard
2,Shatter,1 action,60 feet,VSM ,Instantaneous,(a chip of mica) A sudden loud ringing noisepainfully intenseerupts from a point of your choice within range. Each creature in a 10-foot-radius sphere centered on that point must make a Constitution saving throw. A creature takes 3d8 thunder damage on a failed saveor half as much damage on a successful one. A creature made of inorganic material such as stonecrystalor metal has disadvantage on this saving throw. A nonmagical object that isn't being worn or carried also takes the damage if it's in the spell's area. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higherthe damage increases by 1d8 for each slot level above 2nd.,Bard
2,Silence (Ritual),1 action,120 feet,VS,Concentrationup to 10 minutes, For the durationno sound can be created within or pass through a 20-foot-radius sphere centered on a point you choose within range. Any creature or object entirely inside the sphere is immune to thunder damageand creatures are deafened while entirely inside it. Casting a spell that includes a verbal component is impossible there.,Bard
2,Suggestion,1 action,30 feet,VM ,Concentrationup to 8 hours,(a snake's tougne and either a bit of honeycomb or a drop of sweet oil) You suggest a course of activity (limited to a sentence or two) and magically influence a creature you can see within range that can hear and understand you. Creatures that can't be charmed are immune to this effect. The suggestion must be worded in such a manner as to make the course of action sound reasonable. Asking the creature to stab itselfthrow itself onto a spearimmolate itselfor do some other obviously harmful act ends the spell. The target must make a Wisdom saving throw. On a failed saveit purses the course of action you described to the best of its ability. The suggested course of action can continue for the entire duration. If the suggested activity can be completed in a shorter timethe spell ends when the subject finishes what it was asked to do. You can also specify conditions that will trigger a special activity during the duration. For exampleyou might suggest that a knight five her warhorse to the first beggar she meets. If the condition isn't met before the spell expiresthe activity isn't preformed. If you or any of your companions damage the targetthe spell ends.,Bard
2,Zone of Truth,1 action,60 feet,VS,10 minutes, You create a magical zone that guards against deception in a 15-foot-radius sphere centered on a point of your choice within range. Until the spell endsa creature that enters the spell's area for the first time on a turn or starts its turn there must make a Charisma saving throw. On a failed savea creature can't speak a deliberate lie while in the radius. You know whether each creature succeeds or fails on its saving throw. An affected creature is aware of the spell and can thus avoid answering questions to which it would normally respond with a lie. Such creatures can be evasive in its answers as long as it remains within the boundaries of the truth.,Bard
3,Bestow Curse,1 action,Touch,VS,Concentrationup to 1 minute, You touch a creatureand that creature must succeed on a Wisdom saving throw or become cursed for the duration of the spell. When you cast this spellchoose the nature of the curse from the following options: ?? Choose one ability score. While cursedthe target has disadvantage on ability checks and saving throws made with that ability score. ?? While cursedthe target has disadvantage on attack rolls against you. ?? While cursedthe target must make a Wisdom saving throw at the start of each of its turns. If it failsit wastes its action that turn doing nothing. ?? While the target is cursedyour attacks and spells deal an extra 1d8 necrotic damage to the target. A remove curse spell ends this effect. At the DM's optionyou may choose an alternative curse effectbut it should be no more powerful than those described above. The DM has final say on such a curse's effect. At Higher Levels. If you cast this spell using a spell slot of 4th level or higherthe duration is concentrationup to 10 minutes. If you use a spell slot of 5th level or higherthe duration is 8 hours. If you use a spell slot of 7th level or higherthe duration is 24 hours. If you use a 9th level spell slotthe spell lasts until it is dispelled. Using a spell slot of 5th level or higher grants a duration that doesn't require concentration. ,Bard
3,Clairvoyance,10 minutes,1 mile,VSM ,Concentrationup to 10 minutes,(a focus worth at least 100 gpeither a jeweled horn for hearing or a glass eye for scrying) You create an invisible sensor within range in a location familiar to you (a place you have visited or seen before) or in an obvious location that is unfamiliar to you (such as behind a dooraround a corneror in a grove of trees). The sensor remains in place for the durationand it can't be attacked or otherwise interacted with. When you cast the spellyou choose seeing or hearing. You can use the chosen sense through the sensor as if you were in its space. As your actionyou can switch between seeing and hearing. A creature that can see the sensor (such as a creature benefitting from see invisibility or truesight) sees a luminousintangible orb about the size of your fist.,Bard
3,Dispel Magic,1 action,120 feet,VS,Instantaneous, Choose any creatureobjector magical effect within range. Any spell of 3rd level or lower on the target ends. For each spell of 4th level or higher on the targetmake an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a successful checkthe spell ends. At Higher Levels. When you cast this spell using a spell slot of 4th level or higheryou automatically end the effects of a spell on the target if the spell's level is equal to or less than the level of the spell slot you used.,Bard
