level,name,cast_time,range,component,duration,desc,class
1,Hunter's Mark,1 bonus action,90 feet,V,Concentrationup to 1 hour, You choose a creature you can see within range and mystically mark it as your quarry. Until the spell endsyou deal an extra 1d6 damage to the target whenever you hit it with a weapon attackand you have advantage on any Wisdom (Perception) or Wisdom (Survival) check you make to find it. If the target drops to 0 hit points before this spell endsyou can use a bonus action on a subsequent turn of yours to mark a new creature. At Higher Levels. When you cast this spell using a spell slot of 3rd or 4th levelyou can maintain your concentration on the spell for up to 8 hours. When you use a spell slot of 5th level or higheryou can maintain your concentration on the spell for up to 24 hours.,Ranger
1,Jump,1 action,Touch,VSM ,1 minute,(a grasshopper's hind leg) You touch a creature. The creature's jump distance is tripled until the spell ends.,Ranger
1,Longstrider,1 action,Touch,VSM ,1 hour,(a pinch of dirt) You touch a creature. The target's speed increases by 10 feet until the spell ends. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higheryou can target one additional creature for each slot level above 1st.,Ranger
1,Speak with Animals (Ritual),1 action,Self,VS,10 minutes, You gain the ability to comprehend and verbally communicate with beasts for the duration. The knowledge and awareness of many beasts is limited by their intelligencebut at minimumbeasts can give you information about nearby locations and monstersincluding whatever they can perceive or have perceived within the past day. You might be able to persuade a beast to perform a small favor for youat the DM's discretion.,Ranger
2,Animal Messenger (Ritual),1 action,30 feet,VSM ,24 hours,(a morsel of food) By means of this spellyou use an animal to deliver a message. Choose a Tiny beast you can see within rangesuch as a squirrela blue rayor a bad. You specify a locationwhich you must have visitedand a recipient who matches a general descriptionsuch as a man or woman dressed in the uniform of the town guard or a red-haired dwarf wearing a pointed hat. You also speak a message of up to twenty-five words. The target beast travels fo rhte duration of the spell towards the specified locationcovering about 50 miles per 24 hours for a flying messenger or 25 miles for other animals. When the messenger arrivesit delivers your message to the creature that you describedreplicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn't reach its destination before the spell endsthe message is lostand the beast makes it way back to where you cast this spell. At Higher Levels. If you cast this spell using a spell slot of 3rd level or higherthe duration of the spell increases by 48 hours for each slot level above 2nd.,Ranger
2,Barkskin,1 action,Touch,VSM ,Concentrationup to 1 hour,(a handful of oak bark) You touch a willing creature. Until the spellendsthe target's skin has a roughbark-like appearanceand the target's AC can't be less than 16regardless of what kind of armor it is wearing.,Ranger
2,Beast Sense (Ritual),1 action,Touch,S,Concentrationup to 1 hour, You touch a willing beast. For the duration of the spellyou can use your action to see through the beast's eyes and hear what it hearsand continue to do so until you use your action to return to your normal senses.,Ranger
2,Cordon of Arrows,1 action,5 feet,VSM ,8 hours,(four or more arrows or bolts) You plant four pieces of nonmagical ammunition - arrows or crossbow bolts - in the ground within range and lay magic upon them to protect an area. Until the spell endswhenever a creature other than you comes within 30 feet of the ammunition for the first time on a turn or ends its turn thereone piece of ammunition flies up to strike it. The creature must succeed on a Dexterity saving throw or take 1d6 piercing damage. The piece of ammunition is then destroyed. The spell ends when no ammunition remains. When you cast this spellyou can designate any creatures you chooseand the spell ignores them. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higherthe amount of ammunition that can be affected increases by two for each slot level above 2nd,Ranger
2,Darkvision,1 action,Touch,VSM ,8 hours,(either a pinch of dried carrot or an agate) You touch a willing creature to grant it the ability to see in the dark. For the durationthat creature has darkvision out to a range of 60 feet.,Ranger
2,Find Traps,1 action,120 feet,VS,Instantaneous, You sense the presence of any trap within range that is within line of sight. A trapfor the purpose of this spellincludes anything that would inflict a sudden or unexpected effect you consider harmful or undesirablewhich was specifically intended as such by its creator. Thusthe spell would sense an area affected by the alarm spella glyph of wardingor a mechanical pit trapbut it would not reveal a natural weakness in the flooran unstable ceilingor a hidden sinkhole. This spell merely reveals that a trap is present. You don't learn the location of each trapbut you do learn the general nature of the danger posed by a trap you sense.,Ranger
2,Lesser Restoration,1 action,Touch,VS,Instantaneous, You touch a creature and can end either one disease or one condition afflicting it. The condition can be blindeddeafenedparalyzedor poisoned.,Ranger
2,Locate Object,1 action,Self,VSM ,Concentrationup to 10 minutes,(a forked twig) Describe or name an object that is familiar to you. You sense the direction to the object's locationas long as that object is within 1000 feet of you. If the object is in motionyou know the direction of its movement. The spell can locate a specific object known to youas long as you have seen it up close - within 30 feet - at least once. Alternativelythe spell can locate the nearest object of a particular kindsuch as a certain kind of appareljewelryfurnituretoolor weapon. This spell can't locate an object if any thickness of leadeven a thin sheetblocks a direct path between you and the object.,Ranger
2,Pass Without Trace,1 action,Self,VSM ,Concentrationup to 1 hour,(ashes from a burned leaf of mistletoe and a sprig of spruce) A veil of shadows and silence radiates from youmasking you and your companions from detection. For the durationeach creature you choose within 30 feet of you (including you) has a +10 bonus to Dexterity (Stealth) checks and can't be tracked except by magical means. A creature that receives this bonus leaves behind no tracks or other traces of its passage.,Ranger
2,Protection from Poison,1 action,Touch,VS,1 hour, You touch a creature. If it is poisonedyou neutralize the poison. If more than one poison afflicts the targetyou neutralize on poison that you know is presentor you neutralize one at random. For the durationthe target has advantage on saving throws against being poisonedand it has resistance to poison damage.,Ranger
2,Silence (Ritual),1 action,120 feet,VS,Concentrationup to 10 minutes, For the durationno sound can be created within or pass through a 20-foot-radius sphere centered on a point you choose within range. Any creature or object entirely inside the sphere is immune to thunder damageand creatures are deafened while entirely inside it. Casting a spell that includes a verbal component is impossible there.,Ranger
2,Spike Growth,1 action,150 feet,VSM ,Concentrationup to 10 minutes,(seven sharp thorns or seven small twigseach sharpened to a point) The ground in a 20-foot radius centered on a point within range twists and sprouts hard spikes and thorns. The area becomes difficult terrain for the duration. When a creature moves into or within the areait takes 2d4 piercing damage for every 5 feet it travels. The transformation of the ground is camouflaged to look natural. Any creature that can't see the area at the time the spell is case must make a Wisdom (Perception) check against your spell save DC to recognize the terrain as hazardous before entering it.,Ranger
3,Conjure Animals,1 action,60 feet,VS,Concentrationup to 1 hour, You summon fey spirits that take the form of beasts and appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears: ?  One beast of challenge rating 2 or lower ?  Two beasts of challenge rating 1  or lower ?  Four beasts of challenge rating 1/2 or lower ?  Eight beasts of challenge rating 1/4 or lower Each beast is also considered feyand it disappears when it drops to 0 hit points or when the spell ends. The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a groupwhich has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to themthey defend themselves from hostile creaturesbut otherwise take no actions. The DM has the creatures' statistics. At Higher Levels. When you cast this spell using certain higher-level spell slotsyou choose one of the summoning options aboveand more creatures appear: twice as many with a 5th-level slotthree times as many with a 7th-level slotand four times as many with a 9th-level slot.,Ranger
3,Conjure Barrage,1 action,Self (60-foot cone),VSM ,Instantaneous,(one piece of ammunition or a thrown weapon) You throw a nonmagical weapon or fire a piece of nonmagical ammunition into the air to create a cone of identical weapons that shoot forward and then disappear. Each creature in a 60-foot cone must succeed on a Dexterity saving throw. A creature takes 3d8 damage on a failed saveor half as much damage on a successful one. The damage type is the same as that of the weapon or ammunition used as a component.,Ranger
3,Daylight,1 action,60 feet,VS,1 hour, A 60-foot-radius sphere of light spreads out from a point you choose within range. The sphere is bright light and sheds dim light for an additional 60 feet. If you chose a point on an object you are holding or one that isn't being worn or carriedthe light shines from the object with and moves with it. Completely covering the affected object with an opaque objectsuch as a bowl or a helblocks the light. If any of this spell's area overlaps with an area of darkness created by a spell of 3rd level or lowerthe spell that created the darkness is dispelled.,Ranger
3,Lightning Arrow,1 bonus action,Self,VS,Concentrationup to 1 minute, The next time you make a ranged weapon attack during the spell's durationthe weapon's ammunitionor the weapon itself if it's a thrown weapontransforms into a bolt of lightning. Make the attack roll as normalThe target takes 4d8 lightning damage on a hitor half as much damage on a missinstead of the weapon's normal damage. Whether you hit or misseach creature within 10 feet of the target must make a Dexterity saving throw. Each of these creatures takes 2d8 lightning damage on a failed saveor half as much damage on a successful one. The piece of ammunition or weapon then returns to its normal form. At Higher Levels. When you cast this spell using a spell slot of 4th level or higherthe damage for both effects of the spell increases by 1d8 for each slot level above 3rd.,Ranger
3,Nondetection,1 action,Touch,VSM ,8 hours,(a pinch of diamond dust worth 25 gp sprinkled over the targetwhich the spell consumes) For the durationyou hide a target that you touch from divination magic. The target can be a willing creature or a place or an object no larger than 10 feet in any dimension. The target can't be targeted by any divination magic or perceived through magical scrying sensors.,Ranger
3,Plant Growth,1 action or 8 hours,150 feet,VS,Instantaneous, This spell channels vitality into plants within a specific area. There are two possible uses for the spellgranting either immediate or long-term benefits. If you cast this spell using 1 actionchoose a point within range. All normal plants in a 100-foot radius centered on that point become thick and overgrown. A creature moving through the area must spend 4 feet of movement for every 1 foot it moves. You can exclude one or more areas of any size within the spell's area from being affected. If you cast this spell over 8 hoursyou enrich the land. All plants in a half-mile radius centered on a point within range become enriched for 1 year. The plants yield twice the normal amount of food when harvested.,Ranger
3,Protection from Energy,1 action,Touch,VS,Concentrationup to 1 hour, For the durationthe willing creature you touch has resistance to one damage type of your choice: acidcoldfirelightningor thunder.,Ranger
3,Speak with Plants,1 action,Self (30-foot radius),VS,10 minutes, You imbue plants within 30 feet of you with limited sentience and animationgiving them the ability to communicate with you and follow your simple commands. You can question plants about events in the spell's area within the past daygaining information about creatures that have passedweatherand other circumstances. You can also turn difficult terrain caused by plant growth (such as thickets and undergrowth) into ordinary terrain that lasts for the duration. Or you can turn ordinary terrain where plants are present into difficult terrain that lasts for the durationcausing vines and branches to hinder pursuersfor example. Plants might be able to perform other tasks on your behalfat the DM's discretion. The spell doesn't enable plants to uproot themselves and move aboutbut they can freely move branchestendrilsand stalks. If a plant creature is in the areayou can communicate with it as if you shard a common languagebut you gain no magical ability to influence it. This spell can cause the plants created by the entangle spell to release a restrained creature.,Ranger
3,Water Breathing (Ritual),1 action,30 feet,VSM ,24 hours,(a short reed or piece of straw) This spell grants up to ten willing creatures you can see within range the ability to breathe underwater until the spell ends. Affected creatures also retain their normal mode of respiration.,Ranger
3,Water Walk (Ritual),1 action,30 feet,VSM ,1 hour,(a piece of cork) This spell grants the ability to move across any liquid surface - such as wateracidmudsnowquicksandor lava - as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). Up to ten willing creatures you can see within range gain this ability for the duration. If you target a creature submerged in a liquidthe spell carries the target to the surface of the liquid at a rate of 60 feet per round.,Ranger
3,Wind Wall,1 action,120 feet,VSM ,Concentrationup to 1 minute,(a tiny fan and a feather of exotic origin) A wall of strong w ind rises from the ground at a point you choose within range. You can make the wall up to 50 feet long15 feet highand 1 foot thick. You can shape the wall in any way you choose so long as it makes one continuous path along the ground. The wall lasts for the duration. When the wall appearseach creature within its area must make a Strength saving throw. A creature takes 3d8 bludgeoning damage on a failed saveor half as much damage on a successful one. The strong wind keeps fogsmokeand other gases at bay. Small or smaller flying creatures or objects can't pass through the wall. Looselightweight materials brought into the wall fly upward. Arrowsboltsand other ordinary projectiles launched at targets behind the wall are deflected upward and automatically miss. (Boulders hurled by giants or siege enginesand similar projectilesare unaffected.) Creatures in gaseous form can't pass through it. ,Ranger
4,Conjure Woodland Beings,1 action,60 feet,VSM ,Concentrationup to 1 hour,(one holly berry per creature summoned) You summon fey creatures that appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears:  ?  One fey creature of challenge rating 2 or lower  ?  Two fey creatures of challenge rating 1 or lower  ?  Four fey creatures of challenge rating 1/2 or lower  ?  Eight fey creatures of challenge rating 1/4 or lower A summoned creature disappears when it drops to 0 hit points or when the spell ends. The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a groupwhich have their own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to themthey defend themselves from hostile creaturesbut otherwise take no actions. The DM has the creatures' statistics. At Higher Levels. When you cast this spell using certain higher-level spell slotsyou choose one of the summoning options aboveand more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot.,Ranger
4,Freedom of Movement,1 action,Touch,VSM ,1 hour,(a leather strapbound around the arm or a similar appendage) You touch a willing creature. For the durationthe target's movement is unaffected by difficult terrainand spells and other magical effects can neither reduce the target's speed nor cause the target to be paralyzed or restrained. The target can also spend 5 feet of movement to automatically escape from nonmagical restraintssuch as manacles or a creature that has it grappled. Finallybeing underwater imposes no penalties on teh target's movement or attacks.,Ranger
4,Grasping Vine,1 bonus action,30 feet,VS,Concentrationup to 1 minute, You conjure a vine that sprouts from the ground in an unoccupied space of your choice that you can see within range. When you cast this spellyou can direct the vine to lash out at a creature within 30 feet of it that you can see. That creature must succeed on a Dexterity saving throw or be pulled 20 feet directly toward the vine. Until the spell endsyou can direct the vine to lash out at the same creature or another one as a bonus action on each of your turns.,Ranger
4,Locate Creature,1 action,Self,VSM ,Concentrationup to 1 hour,(a bit of fur from a bloodhound) Describe or name a creature that is familiar to you. You sense the direction to the creature's locationas long as that creature is within 1000 feet of you. If the creature is movingyou know the direction of its movement. The spell can locate a specific creature known to youor the nearest creature of a specific kind (such as a human or a unicorn)so long as you have seen such a creature up close - within 30 feet - at least once. If the creature you described or named is in a different formsuch as being unfer the effects of a polymorph spellthis spell doesn't locate the creature. This spell can't locate a creature if running water at least 10 feet wide blocks a direct path between you and the creature.,Ranger
4,Stoneskin,1 action,Touch,VSM ,Concentrationup to 1 hour,(diamond dust worth 100 gpwhich the spell consumes) This spell turns the flesh of a willing creature you touch as hard as stone. Until the spell endsthe target has resistance to nonmagical bludgeoningpiercingand slashing damage.,Ranger
5,Commune with Nature (Ritual),1 minute,Self,VS,Instantaneous, You briefly become one with nature and gain knowledge of the surrounding territory. In the outdoorsthe spell gives you knowledge of the land within 3 miles of you. In caves and other natural underground settingsthe radius is limited to 300 feet. The spell doesn't function where nature has been replaced by constructionsuch as in dungeons and towns. You instantly gain knowledge of up to three facts of your choice about any of the following subjects as they relate to the area: ?  terrain and bodies of water ?  prevalent plantsmineralsanimalsor peoples ?  powerful celestialsfeyfiendselementalsor undead ?  influence from other planes of existence ?  buildings For exampleyou could determine the location of powerful undead in the areathe location of major sources of safe drinking waterand the location of any nearby towns.,Ranger
5,Conjure Volley,1 action,150 feet,VSM ,Instantaneous,(one piece of ammunition or one thrown weapon) You fire a piece of nonmagical ammunition from a ranged weapon or throw a nonmagical w eapon into the air and choose a point within range. Hundreds of duplicates of the ammunition or weapon fall in a volley from above and then disappear. Each creature in a 40-foot-radius. 20-foot-high cylinder centered on that point must make a Dexterity saving throw. A creature takes 8d8 damage on a failed saveor half as much damage on a successful one. The damage type is the same as that of the ammunition or weapon.,Ranger
5,Swift Quiver,1 bonus action,Touch,VSM ,Concentrationup to 1 minute,(a quiver containing at least one piece of ammunition) You transmute your quiver so it produces an endless supply of nonmagical ammunitionwhich seems to leap into your hand when you reach for it. On each of your turns until the spell endsyou can use a bonus action to make two attacks with a weapon that uses ammunition from the quiver. Each time you make such a ranged attackyour quiver magically replaces the piece of ammunition you used with a similar piece of nonmagical ammunition. Any pieces of ammunition created by this spell disintegrate when the spell ends. If the quiver leaves your possessionthe spell ends.,Ranger
5,Tree Stride,1 action,Self,VS,Concentrationup to 1 minute, You gain the ability to enter a tree and move from inside it to inside another tree of the same kind within 500 feet. Both trees must be living and at least the same size as you. You must use 5 feet of movement to enter a tree. You instantly know the location of all other trees of the same kind within 500 feet andas part of the move used to enter the treecan either pass into one of those trees or step out of the tree you're in. You appear in a spot of your choice within 5 feet of the destination treeusing another 5 feet of movement. If you have no movement leftyou appear within 5 feet of the tree you entered. You can use this transportation ability once per round for the duration. You must end each turn outside a tree. ,Ranger
